stt,GSA1,GSA2,GSA3,GSA4,CE1,CE2,CE3,CE4,CE5,CE6,CE7,CE8,MA1,MA2,MA3,MA4,MA5,VA1,VA2,VA3,VA4,FE1,FE2,FE3,PE1,PE2,PE3
222,5,5,4,5,4,3,3,4,3,3,3,4,5,5,3,5,4,5,4,5,4,5,3,5,4,3,5
223,3,4,3,4,3,4,3,3,2,2,3,2,4,4,4,5,4,5,5,5,5,4,3,3,5,3,3
224,4,4,5,4,4,4,4,3,3,3,4,5,5,4,4,3,4,5,5,4,5,5,3,3,4,3,4
225,4,4,5,4,4,4,4,3,3,3,4,5,5,4,4,3,4,5,5,4,5,5,3,3,4,3,4
226,3,4,4,4,3,3,3,4,3,1,1,2,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5
227,4,5,4,3,4,4,3,3,4,4,3,3,4,5,4,3,3,4,5,5,5,5,3,3,4,4,3
228,4,3,4,3,4,5,4,4,3,3,4,5,4,3,4,3,3,5,5,4,5,4,5,4,5,4,4
229,4,3,4,3,4,4,2,4,3,4,4,4,4,4,4,3,3,5,4,5,4,4,3,3,5,4,4
230,4,3,3,4,4,5,4,4,5,3,3,4,5,4,5,5,3,4,4,3,4,4,5,4,4,4,4
231,2,3,4,3,3,3,4,3,2,3,5,3,4,3,3,4,3,4,3,5,5,3,4,3,3,3,4
232,4,5,5,5,3,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,3,4,3,3,4,4,5
233,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,3,3,5,2,3,4
